GSM1887730	GSM2177026	GSM2177021	GSM2177023	GSM2177019	GSM2177022	GSM2177027	GSM2177025	GSM2177024	GSM2177018	GSM2177020	GSM2177017	GSM2828480	GSM2828481	GSM2828482	GSM2828483	GSM2828484	GSM2828485	GSM3407112	GSM3407113	GSM3407114
Myt1l	1	16	1	47	0	144	3	28	45	1	0	0	0	0	0	0	0	0	1	1	5
Myzap	1336	67	1063	52	569	271	72	94	148	79	365	363	826	457	323	1552	1451	1115	85	76	123
Mzb1	3406	0	8	0	12	0	0	0	0	2	7	16	2958	1752	3015	3298	2746	3301	79	112	134
Mzf1	119	902	1001	2016	675	3307	853	1138	1763	206	426	289	26	41	41	39	41	32	15	5	5
Mzt1	10028	35	133	115	69	432	95	122	254	27	31	63	958	683	634	1240	1114	1447	79	73	110
Mzt2	1429	0	7	0	12	0	0	0	0	1	8	0	117	116	219	248	227	293	8	7	22
N4bp1	7112	74	2567	243	1461	79	111	94	197	199	1229	423	637	599	574	719	567	760	44	39	83
N4bp2	5753	546	468	616	226	1227	302	398	779	101	149	168	556	362	373	449	429	442	51	38	61
N4bp2l1	5422	54	2654	107	908	94	49	0	26	111	853	370	1222	1464	1041	1926	1806	1756	142	98	182
N4bp2l2	17200	706	3039	828	1160	2046	550	534	1018	487	872	913	1315	1003	979	1866	1592	1551	159	148	288
N4bp3	10446	84	308	56	151	94	31	116	20	91	138	148	1632	763	789	2433	2374	1740	135	151	229
N6amt1	2066	83	396	62	206	430	112	82	377	75	162	196	177	175	344	318	223	369	27	28	36
Naa10	4806	12	52	11	49	83	0	0	27	15	23	18	596	603	1214	1295	1112	1344	40	46	62
Naa11	0	0	0	17	0	4	1	2	0	0	0	0	0	0	1	0	0	0	1	1	1
Naa15	20790	4408	4024	5388	2417	9861	1678	4074	5339	1541	2252	1963	1428	1190	969	1605	1405	1331	186	168	307
Naa16	1870	1428	749	2326	354	2290	1202	1396	1261	243	377	315	663	549	430	788	669	693	46	57	66
Naa20	7483	68	331	27	230	288	55	53	73	53	173	102	530	638	741	1195	1039	1118	59	52	95
Naa25	7651	94	1542	270	656	453	83	125	135	224	562	371	923	1007	475	1087	968	653	106	105	144
Naa30	6208	278	226	327	134	627	175	184	549	80	75	56	389	519	249	693	638	432	73	67	102
Naa35	4711	135	516	300	330	406	120	75	163	80	442	138	583	605	624	929	857	744	68	83	144
Naa38	4653	0	156	2	40	1	14	0	22	42	67	41	354	449	875	1132	946	1172	39	34	89
Naa40	11917	43	118	57	42	89	28	39	47	11	32	18	1063	1344	680	1823	1703	1135	111	92	135
Naa50	32225	657	1502	625	383	1638	1033	437	1064	149	261	780	2554	1896	1324	2565	2483	2378	210	179	286
Naa60	15508	0	135	0	48	0	15	13	9	20	19	21	2052	2060	1070	2498	2354	1861	139	138	214
Naaa	4366	83	35	288	19	611	116	109	571	52	58	24	660	1244	910	851	561	777	32	31	24
Naalad2	17	0	3	0	13	18	0	0	18	2	3	2	4	1	4	7	1	16	0	5	1
Naaladl1	27	0	0	0	0	0	0	0	0	0	0	0	8	11	6	6	3	10	0	0	0
Naaladl2	9	1	6	14	0	19	1	0	12	0	0	0	3	1	2	3	1	2	7	2	1
Nab1	21082	8832	5185	7181	2456	10842	11304	10259	10899	1077	2450	2617	1836	1287	713	2603	2478	1806	267	261	446
Nab2	125	0	62	4	39	71	22	16	11	5	28	4	67	136	96	31	22	20	3	0	5
Nabp1	9073	164	366	26	287	125	0	81	50	70	179	138	851	1103	526	938	897	700	84	96	149
Nabp2	6517	0	77	8	102	23	0	0	17	35	76	58	493	525	679	1003	937	832	52	37	67
Naca	107850	61	1551	66	740	118	13	25	263	441	676	589	2788	2380	5678	6131	4439	7213	162	223	309
Nacad	108	0	3	0	0	0	0	0	19	0	0	0	11	15	16	16	10	2	1	1	3
Nacc1	15743	32	121	11	106	14	4	64	32	26	58	39	609	413	209	706	628	520	51	43	94
Nacc2	6126	208	142	499	134	680	265	182	439	106	114	94	575	620	388	882	750	847	90	74	134
Nadk	17333	134	516	65	280	75	60	26	149	109	273	345	3731	3937	2241	4417	3888	2763	279	227	450
Nadk2	1911	64	31	191	26	285	121	26	157	26	18	18	497	675	391	531	415	399	30	26	37
Nadsyn1	1229	18	32	1	25	15	6	0	68	21	20	17	221	261	168	372	274	331	33	24	34
Nae1	3300	84	180	203	81	407	54	7	223	58	100	62	646	681	631	878	797	897	56	53	114
Naf1	2915	0	233	33	62	166	28	22	86	34	97	91	71	36	89	60	72	98	10	7	25
Naga	59384	0	186	11	97	20	10	8	16	70	85	73	3106	2620	1891	5600	4937	4449	384	333	516
Nagk	2538	169	148	148	144	462	172	132	465	41	123	66	655	1330	1634	645	525	635	60	53	83
Naglu	7372	1	36	90	16	1	0	0	38	23	19	14	1295	1931	1085	1224	1192	849	94	122	148
Nagpa	5374	0	79	0	35	13	0	0	0	18	21	52	1183	1794	1234	1682	1601	1312	146	155	191
Nags	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	3	1	1	0	0
Naif1	3048	69	103	77	103	192	34	26	33	8	69	44	324	295	283	460	423	419	43	38	58
Naip1	277	0	20	15	1	25	0	50	30	2	19	10	1	12	12	10	22	10	5	4	8
Naip2	10602	18	273	42	124	36	0	0	30	42	96	50	338	517	428	402	419	408	46	41	52
Naip3	302	0	23	0	8	0	2	0	0	5	15	5	4	8	13	10	11	12	0	3	3
Naip5	11109	30	304	2	150	100	46	33	102	92	92	104	879	919	390	763	745	647	132	104	269
Naip6	10575	15	259	0	112	8	0	14	11	39	98	38	424	329	101	435	395	315	76	75	104
Nalcn	0	0	0	4	0	46	0	0	21	0	0	0	0	0	0	0	0	0	1	2	0
Nampt	47671	2582	3581	1173	2133	3240	2945	2637	2760	748	1899	1050	2410	2368	1381	2713	2270	2065	160	137	243
Nanog	80	188	105	181	58	401	31	114	133	42	68	59	8	3	13	9	14	14	3	4	2
Nanog-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanog-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanos1	340	2	0	0	1	40	3	4	46	0	0	0	61	80	59	67	61	85	1	1	7
Nanos2	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2
Nanos3	39	0	0	0	0	0	0	0	0	0	0	0	7	4	15	24	18	34	0	1	2
Nanp	171	0	29	0	0	0	0	0	0	17	0	0	73	241	170	218	105	65	0	0	5
Nans	7807	117	486	523	267	360	406	178	365	120	212	250	941	790	1353	1612	1331	1382	71	82	114
Nap1l1	45119	9424	3124	6123	1530	16588	6217	6344	12968	900	1426	817	1895	1792	2889	3025	2431	3289	170	132	243
Nap1l2	287	1	8	11	12	45	0	7	0	6	6	5	8	6	6	20	24	34	1	4	7
Nap1l3	133	0	12	9	0	15	0	0	0	0	0	0	71	15	10	52	55	52	12	11	28
Nap1l4	20990	233	646	327	296	412	80	139	116	96	397	187	2584	2322	1971	3761	3688	2364	268	250	455
Nap1l5	3	0	4	0	4	0	0	0	0	0	6	2	6	4	5	17	19	27	1	0	4
Napa	24799	139	712	79	418	503	203	96	423	142	419	418	3801	3622	3169	5010	4307	4228	336	385	457
Napb	101	42	85	69	51	471	52	173	412	29	42	19	51	69	32	43	44	52	9	6	11
Napepld	491	1	28	0	12	27	0	1	13	6	4	6	33	34	27	59	63	40	11	6	8
Napg	5650	163	567	266	312	252	157	127	189	130	258	169	726	871	599	753	749	625	79	62	108
Naprt	7	0	0	0	0	0	0	0	0	0	3	0	101	192	212	38	45	79	2	1	5
Napsa	110121	42	5361	113	2056	41	55	1	73	441	1974	841	6281	3859	5287	13540	11730	11484	781	927	1182
Narf	6222	125	240	268	154	263	199	147	425	124	108	113	940	1236	675	1259	1225	763	66	38	60
Narfl	4063	197	134	91	84	604	140	145	603	57	46	53	710	993	852	1037	967	767	76	58	112
Nars	34561	2066	2493	845	1383	1555	426	586	945	275	1255	462	1915	2656	2287	2816	2545	1990	314	311	395
Nars2	1198	8	10	11	2	84	5	5	34	6	2	3	204	283	111	223	291	135	40	27	43
Nasp	9636	1952	2520	2111	1201	3017	937	1100	2443	178	889	401	1277	902	1488	1388	1243	1357	47	47	66
Nasp-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	1
Nat10	5909	2	135	55	58	95	7	0	46	16	38	44	597	584	258	808	741	457	75	51	89
Nat14	43	5	18	60	6	19	2	37	18	1	12	0	8	7	16	5	5	5	2	1	1
Nat2	2561	0	26	4	39	31	0	0	0	8	16	9	74	84	80	202	175	132	4	12	15
Nat3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat6	2995	12	21	0	24	0	0	11	0	12	28	34	359	432	412	474	478	389	39	25	37
Nat8	0	28	0	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nat8b-ps	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1
Nat8f1	280	0	11	0	7	0	0	0	1	1	5	0	30	52	81	113	98	99	7	8	7
Nat8f2	80	1	2	0	0	0	0	0	18	1	1	3	3	1	0	1	1	1	0	0	0
Nat8f3	9	23	5	43	0	21	12	1	0	0	0	0	2	3	4	1	1	0	0	2	4
Nat8f4	126	0	1	0	3	0	0	0	0	0	2	0	42	42	16	42	44	36	7	5	9
Nat8f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Nat8f6	4	0	0	2	0	36	7	0	1	0	0	0	1	0	0	0	1	0	0	3	3
Nat8f7	2	4	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0
Nat8l	435	6	2	42	0	25	4	10	6	0	0	1	92	96	117	104	104	118	5	2	2
Nat9	2861	0	88	47	38	5	39	5	19	6	55	18	375	471	634	503	422	495	21	37	52
Natd1	3665	69	44	59	38	158	118	10	77	27	31	23	918	1715	782	448	392	264	23	24	34
Nav1	1343	139	263	222	101	911	47	78	463	76	104	118	1161	1937	845	126	163	140	23	13	43
Nav2	2024	110	582	354	270	591	86	120	378	66	230	178	592	304	170	498	474	449	90	69	141
Nav3	4	20	2	8	0	84	14	10	51	0	5	0	8	2	2	5	2	5	9	2	3
Nbas	3827	0	40	0	27	13	0	0	0	32	27	29	582	402	194	423	468	312	69	30	99
Nbea	54	114	38	200	11	1049	124	60	720	28	27	12	37	80	22	13	17	20	11	9	15
Nbeal1	1931	152	511	355	284	1068	365	212	655	170	238	201	427	423	261	340	312	268	48	49	63
Nbeal2	3884	0	43	0	15	44	0	0	2	19	24	9	952	781	492	1018	899	865	66	42	130
Nbl1	2315	0	302	0	123	0	0	0	0	14	156	35	157	47	56	360	362	336	33	33	22
Nbn	3083	140	666	78	310	188	77	42	81	82	230	182	660	621	464	801	716	548	59	65	71
Nbr1	19095	10	611	104	279	140	58	26	17	59	210	137	2061	2440	572	2056	2369	1119	266	235	412
Ncald	2065	34	371	83	238	145	72	4	36	33	192	97	413	222	75	614	600	538	55	59	93
Ncam1	29	48	0	41	3	357	42	59	190	13	5	3	294	309	275	308	248	311	11	9	3
Ncam2	8	80	0	129	3	129	42	43	131	1	2	0	6	0	2	8	3	8	0	1	4
Ncan	38	73	43	75	14	356	110	97	243	22	21	54	28	23	60	26	23	49	8	2	6
Ncapd2	19790	0	30	0	25	12	0	7	27	10	18	11	2038	1630	1105	2365	2054	1653	26	15	28
Ncapd3	6437	188	417	98	135	409	129	121	226	48	130	78	1009	906	532	1180	1231	821	96	56	97
Ncapg	4208	0	45	47	17	58	53	65	39	17	30	36	557	687	500	958	757	661	2	1	2
Ncapg2	8700	48	530	270	198	82	5	65	59	47	127	102	1251	1689	1063	735	839	466	65	38	92
Ncaph	5203	0	27	0	3	34	12	0	2	1	1	6	790	793	558	991	847	690	0	1	2
Ncaph2	34626	174	329	240	209	776	260	254	952	121	228	205	3452	3052	4289	5391	4830	4117	229	253	363
Ncbp1	16080	18	407	0	206	53	36	22	39	44	155	101	1584	1395	988	2238	2238	1327	124	96	198
Ncbp2	6449	116	448	121	238	393	109	68	207	125	223	250	726	925	777	1133	1074	957	51	77	77
Ncbp3	9019	527	1183	1001	588	1615	388	441	906	166	424	280	772	678	576	1063	1041	785	102	85	99
Nccrp1	220	0	0	0	0	0	0	0	0	2	0	0	3	2	2	7	4	3	1	0	1
Ncdn	12088	0	15	0	10	0	22	0	0	19	9	7	1163	793	329	1404	1389	1031	166	102	183
Nceh1	52645	487	4494	475	2305	728	596	339	321	453	1551	1119	3091	3113	2254	4233	4085	3243	429	344	482
Ncf1	108451	1197	18777	937	11424	1016	349	245	421	2253	10410	5903	8778	6502	5967	15478	15071	11356	669	667	992
Ncf2	12339	230	288	421	136	1058	260	314	674	128	134	118	3380	3806	4102	3444	3047	2737	89	92	151
Ncf4	3639	0	65	0	29	0	0	0	0	19	22	26	2534	2200	3731	3658	2713	3401	83	133	101
Nck1	3565	106	209	44	136	111	39	108	133	52	79	62	692	1107	948	794	669	772	45	65	77
Nck2	138	24	34	1	8	118	18	29	112	7	3	5	219	325	174	83	95	56	6	0	9
Nckap1	1765	1	24	44	15	54	0	0	60	4	4	6	122	104	20	113	87	52	23	7	37
Nckap1l	75476	106	651	207	318	392	155	102	487	171	267	183	5632	5608	1736	4755	5288	2362	562	551	853
Nckap5	53	20	18	175	17	343	153	5	183	7	8	9	2	10	7	9	14	12	21	9	13
Nckap5l	1260	0	7	4	4	13	0	0	12	0	0	0	100	75	26	110	108	141	6	13	14
Nckipsd	10574	84	950	256	732	684	124	172	352	432	442	510	1736	1190	620	2794	2690	1990	314	230	384
Ncl	111146	8568	18310	12627	8536	29260	8422	8419	10849	1006	8412	3002	8383	5548	6976	8519	6959	7002	424	441	680
Ncln	8458	155	153	122	90	260	184	69	321	42	82	77	1764	2181	1774	2538	2185	1832	165	168	199
Ncmap	5	1	1	17	5	95	19	1	66	3	3	0	2	2	3	0	7	0	0	2	1
Ncoa1	13435	321	1593	451	822	960	84	181	412	238	836	472	2107	1203	504	1506	1387	1191	303	166	412
Ncoa2	9897	84	421	188	305	668	166	103	308	98	281	228	1522	1143	659	1194	1170	1132	128	92	209
Ncoa3	22807	222	1343	283	390	539	364	146	488	126	247	298	3607	2083	883	2676	2717	1673	360	252	453
Ncoa4	73281	193	1107	279	659	635	172	230	488	283	574	393	9906	12655	7134	8148	7753	5388	674	578	985
Ncoa5	7148	108	162	73	67	222	3	34	71	33	73	32	845	936	548	1241	1364	755	89	62	108
Ncoa6	8010	2	241	68	69	103	14	18	92	40	101	57	715	558	334	590	554	619	66	45	103
Ncoa7	4059	277	464	436	212	390	134	90	284	152	236	188	252	366	213	240	228	267	21	21	41
Ncor1	21641	7472	8952	8935	4083	14326	3778	4306	6876	1927	3326	2686	4561	3757	3362	5063	4013	5099	407	416	671
Ncor2	8103	44	384	196	174	843	778	213	70	69	119	97	980	725	410	607	581	467	68	50	81
Ncr1	0	0	4	0	6	8	0	22	0	0	1	0	26	15	60	86	38	108	4	0	0
Ncr3-ps	3	0	0	0	0	0	0	0	0	0	0	0	2	5	1	5	0	1	0	0	0
Ncs1	389	2	1	38	1	28	15	28	20	1	0	5	23	19	8	29	32	18	2	1	3
Ncstn	29623	72	319	170	136	320	78	86	283	57	109	84	3354	3718	1290	3415	3216	2152	347	318	491
Ndc1	3037	19	12	5	13	4	13	8	19	2	21	5	552	536	316	776	607	471	19	24	29
Ndc80	3648	14	157	85	68	123	56	32	109	2	68	35	553	452	589	724	647	731	3	1	18
Nde1	7831	34	123	15	25	57	61	0	1	29	42	41	1423	1434	942	2298	2030	1376	147	114	163
Ndel1	6895	29	535	71	278	13	16	35	81	94	220	211	2718	2111	1644	2882	2313	2484	178	167	239
Ndfip1	10907	0	112	0	70	0	0	0	0	17	40	37	5665	9225	6679	3058	2775	2783	222	234	309
Ndfip2	4366	264	359	198	130	194	335	218	342	71	146	143	835	786	412	906	818	593	80	82	106
Ndn	2	0	0	18	0	16	0	0	0	0	0	0	3	5	0	1	0	1	1	2	0
Ndnf	106	73	67	233	25	742	149	40	244	19	16	63	31	18	24	23	15	24	60	35	86
Ndnl2	5934	148	84	189	107	235	118	152	218	42	45	48	558	481	491	1090	918	1004	56	83	83
Ndor1	5730	91	145	225	130	92	60	8	127	85	112	96	564	726	430	898	766	578	129	116	150
Ndp	10	43	21	18	14	94	6	48	29	8	1	2	2	2	0	2	2	6	3	1	2
Ndrg1	25444	71	185	127	151	291	38	53	105	69	78	55	679	398	351	1173	968	988	33	22	51
Ndrg2	21	0	0	0	0	1	0	0	0	0	0	0	19	25	13	35	31	16	0	0	1
Ndrg3	5324	23	90	141	62	229	68	124	130	43	45	42	947	861	529	1238	1190	730	93	92	155
Ndrg4	13	0	0	0	0	0	0	4	0	0	0	4	0	0	3	0	2	1	0	0	1
Ndst1	22379	10	179	101	104	0	25	24	56	91	158	95	1715	1735	696	1664	1663	1309	146	104	212
Ndst2	4714	0	52	15	15	0	0	0	1	10	19	19	922	1177	439	1014	1069	591	85	79	101
Ndst3	0	0	0	36	0	70	14	0	0	0	0	0	3	4	1	3	0	1	1	1	5
Ndst4	82	41	11	36	12	168	9	51	164	2	5	2	16	10	17	9	8	25	14	12	14
Ndufa1	10204	0	335	3	112	20	9	0	0	103	148	101	975	1282	2722	2954	2287	2973	132	85	223
Ndufa10	13676	910	1471	1386	854	1713	1043	1137	1585	509	687	846	1409	1507	2450	2390	1977	2263	96	110	161
Ndufa11	8864	395	293	428	97	1169	556	565	883	121	140	114	1029	1182	2474	2994	2434	3044	67	83	130
Ndufa12	7090	325	540	127	242	1172	314	202	516	191	246	187	396	519	964	980	797	1071	57	68	117
Ndufa13	17333	0	443	3	177	0	0	0	17	97	293	132	1574	1781	4189	4410	3330	4610	105	144	246
Ndufa2	12045	2236	867	2370	422	5190	2156	2107	6065	297	350	362	1298	1634	4336	3163	2563	3516	91	105	175
Ndufa3	13907	920	925	907	326	1774	1513	1264	2399	276	350	429	764	1031	2091	2543	1909	2229	94	78	152
Ndufa4	10530	400	773	352	473	733	281	272	792	299	425	385	1528	2100	4355	3975	3065	4219	118	142	283
Ndufa4l2	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ndufa5	5023	30	331	0	144	47	36	44	188	44	143	73	358	521	1063	979	761	1016	42	42	101
Ndufa6	13011	0	773	21	202	33	9	0	53	189	261	161	808	965	2016	2682	2016	2624	52	52	94
Ndufa7	13808	2	477	8	202	69	33	18	65	113	208	248	984	1310	2357	2982	2251	3113	93	95	220
Ndufa8	9433	14	107	28	78	0	0	0	32	59	47	53	946	1166	2078	2031	1651	2151	76	70	111
Ndufa9	15117	27	286	25	128	140	28	39	139	86	142	99	1867	2040	2726	3262	2569	2867	167	179	243
Ndufab1	5200	230	750	480	347	1742	301	356	1274	268	361	312	844	1383	2181	1923	1515	1868	106	103	231
Ndufaf1	2515	16	191	0	65	36	0	0	16	24	46	66	216	338	435	501	434	482	38	39	77
Ndufaf2	986	116	245	40	109	326	16	63	0	26	113	52	104	96	226	210	217	210	13	12	24
Ndufaf3	3363	152	128	32	57	158	54	39	71	56	89	58	449	448	883	1199	892	1116	47	44	73
Ndufaf4	3006	542	213	959	82	1486	746	791	898	112	99	115	379	355	346	669	571	692	41	40	69
Ndufaf5	1171	12	69	0	63	51	0	0	0	18	27	27	142	150	217	260	265	277	13	7	18
Ndufaf6	720	7	41	14	20	0	0	16	0	13	25	19	168	130	236	332	220	293	10	19	17
Ndufaf7	3560	310	215	241	100	622	182	159	234	78	89	132	405	445	430	799	663	700	52	64	68
Ndufb10	12485	0	262	36	120	119	0	33	57	78	104	65	1175	1223	2395	2755	2457	2450	110	105	232
Ndufb11	17453	0	161	6	73	26	17	0	0	51	85	79	1469	1616	3413	3973	3068	4280	85	109	158
Ndufb2	1930	371	140	897	108	3780	447	538	1746	84	87	95	475	682	1656	1389	1093	1522	48	43	80
Ndufb3	8261	22	355	2	165	89	0	13	31	139	164	142	691	880	1589	2002	1555	2128	84	66	108
Ndufb4	1683	124	277	80	68	320	128	53	375	90	103	84	405	523	899	937	833	1019	33	41	92
Ndufb5	12045	263	332	373	150	939	326	335	905	118	137	188	1007	1291	2369	2395	2042	2706	69	87	137
Ndufb6	5832	0	229	0	118	19	22	36	30	53	99	117	730	942	1778	1892	1414	1935	68	59	160
Ndufb7	9352	0	278	35	148	147	60	76	118	60	158	94	1151	1351	3671	2863	2133	2993	74	103	159
Ndufb8	13958	4	243	1	149	14	32	0	62	62	118	114	1645	2017	4324	3736	3025	3768	156	138	241
Ndufb9	12187	0	817	0	363	2	0	0	22	170	509	283	1592	1822	3893	4348	3213	4423	119	144	212
Ndufc1	6289	410	1024	340	636	1306	518	254	1006	348	497	521	517	594	1369	1555	1234	1674	56	48	120
Ndufc2	7578	34	792	71	127	126	73	19	70	98	166	520	1004	1546	2525	2158	1623	2309	72	86	140
Ndufs1	9955	448	602	781	272	1708	190	405	983	135	184	141	1662	1938	1021	1833	1636	1406	148	138	283
Ndufs2	28665	15	439	16	221	0	0	0	41	126	173	138	2574	2916	3853	4191	3767	3590	192	232	334
Ndufs3	13218	0	163	0	89	59	8	38	25	102	77	79	1350	1436	2247	2475	2046	2497	82	139	158
Ndufs4	9847	255	1844	228	917	665	267	344	526	208	984	519	934	1027	2089	2042	1660	2289	65	66	134
Ndufs5	9875	0	291	22	192	28	26	13	0	92	184	99	820	1019	2254	2291	1736	2427	70	83	169
Ndufs6	6186	6	265	20	145	22	32	24	0	37	88	99	573	816	2260	2155	1529	2067	54	56	81
Ndufs7	6217	2	275	23	88	113	3	1	54	59	110	93	1388	1897	3514	3509	2807	3498	108	158	223
Ndufs8	19406	0	253	0	98	0	0	0	0	55	175	128	1595	1956	4267	4110	3113	4388	168	194	311
Ndufv1	15880	0	190	22	92	14	0	0	7	54	100	96	1754	1889	2675	3103	2522	2410	138	155	186
Ndufv2	13678	176	1329	73	425	375	189	101	334	123	342	191	1252	1750	2845	3397	2705	3653	108	164	232
Ndufv3	14091	121	498	311	208	717	160	79	285	87	238	154	1081	1122	2108	2335	1975	2202	94	84	155
Neb	159	50	26	64	17	139	5	41	140	20	18	10	30	31	13	26	24	38	10	8	17
Nebl	24	39	6	76	7	259	29	61	66	8	7	9	14	21	20	10	8	21	4	1	9
Necab1	35	0	19	0	1	44	0	0	0	2	11	8	7	6	17	13	7	18	2	2	6
Necab2	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	3	0	0	0	0	0
Necab3	720	0	3	0	1	0	0	0	0	0	2	4	33	17	26	61	44	47	2	2	2
Necap1	2827	0	76	0	49	10	0	15	0	10	39	35	1019	659	345	773	746	604	78	46	111
Necap2	30852	36	672	66	336	159	71	33	117	227	259	310	2755	2834	2402	5116	4824	3773	369	365	567
Nectin1	18	0	1	30	1	84	8	15	24	3	1	0	3	3	11	5	1	10	0	0	2
Nectin2	1363	0	32	0	16	18	0	0	0	1	15	7	45	72	52	42	43	25	3	2	1
Nectin3	61	1	42	118	17	206	84	49	161	17	8	36	27	27	15	24	19	24	8	9	12
Nectin4	4761	0	226	0	127	3	10	35	16	21	138	97	565	564	308	534	517	293	39	35	46
Nedd1	3484	0	108	20	46	29	17	1	0	17	50	55	384	444	189	635	589	406	66	46	55
Nedd4	29544	287	1645	496	736	663	284	214	428	715	736	938	2846	1599	1074	3528	3114	2570	347	259	484
Nedd4l	6673	179	251	540	110	289	105	90	195	50	104	99	1007	496	256	1052	920	526	104	74	108
Nedd8	16344	122	2277	206	516	163	23	95	72	191	1022	636	1335	1626	3596	3048	2507	3243	95	96	206
Nedd9	6703	71	141	102	189	145	60	17	93	32	67	27	3671	2204	1457	1859	1716	1419	209	171	253
Nefh	53	31	19	75	10	98	31	47	60	0	2	0	25	14	18	26	15	12	1	0	0
Nefl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
Nefm	8	2	6	76	0	80	20	36	40	0	3	0	0	1	1	0	2	1	0	1	1
Negr1	19	2	6	11	4	144	35	52	106	0	2	0	11	9	10	3	0	1	2	2	1
Neil1	2518	31	66	17	52	25	0	13	72	36	48	48	734	471	645	912	706	757	78	59	110
Neil2	16	0	0	0	0	3	0	0	0	0	0	0	4	8	15	3	2	3	0	0	0
Neil3	1716	15	62	27	17	213	124	66	58	10	19	30	592	510	591	845	645	701	17	10	15
Nek1	4870	247	910	264	446	346	139	162	194	130	424	286	397	357	122	516	534	442	90	65	135
Nek10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1
Nek11	34	0	2	0	2	0	0	0	0	3	2	0	7	12	9	14	9	15	3	4	3
Nek2	8546	0	34	0	6	8	0	0	28	6	8	9	979	715	578	1254	1201	783	12	5	6
Nek3	213	0	7	0	3	0	0	0	18	2	3	4	23	48	47	59	51	65	7	7	2
Nek4	1170	55	184	33	85	54	16	7	0	34	73	84	166	169	48	171	134	88	17	19	27
Nek5	5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	1	2	4	0	1
Nek6	47369	473	1805	411	565	1555	571	446	873	274	520	523	3369	1804	877	8281	7566	6832	735	772	1153
Nek7	40847	1177	2648	1807	1753	1931	917	717	2360	641	1346	833	2247	1656	832	2420	2631	1599	448	329	668
Nek8	1537	18	268	76	144	213	32	35	215	61	115	99	172	163	97	367	284	299	24	34	40
Nek9	19148	40	218	42	214	226	32	12	50	106	161	98	775	758	545	1175	1066	855	140	138	207
Nelfa	6316	835	577	717	203	1906	1187	1540	1594	483	361	489	947	890	516	1698	1546	1163	96	93	116
Nelfb	8432	0	97	12	37	15	0	6	2	28	49	43	1647	1837	1283	2462	2446	1587	172	161	239
Nelfcd	9040	0	56	0	36	0	0	0	0	17	31	27	1355	1160	1155	1821	1776	1026	121	137	152
Nelfe	8081	69	824	183	521	291	64	130	73	62	288	230	658	651	1066	1174	997	968	49	54	100
Nell1	1	32	0	7	0	14	16	23	35	0	0	0	0	0	0	0	0	0	4	1	1
Nell2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Nemf	6882	1734	3721	2100	1699	2355	1018	926	1378	552	1669	1135	1580	1594	1179	1920	1867	1969	217	227	339
Nenf	3704	0	21	0	7	0	0	0	0	10	5	12	320	513	994	567	436	570	23	25	45
Neo1	266	0	1	23	0	83	27	0	83	0	1	0	11	8	11	14	20	19	7	5	2
Nepn	0	0	0	25	0	25	0	0	23	0	0	0	0	2	0	0	0	0	0	0	0
Nepro	3933	93	217	160	106	448	125	85	361	73	73	72	328	158	139	279	315	287	28	30	35
Nes	129	0	711	0	319	0	0	0	0	12	210	73	2	2	3	0	9	6	2	1	3
Net1	161445	1758	4025	2523	5553	2533	892	775	1415	1237	2261	1729	4259	2815	825	8674	9359	4390	816	676	1289
Neto1	0	0	0	16	0	73	27	0	15	0	0	0	0	0	0	0	0	0	0	0	1
Neto2	662	20	48	0	32	139	0	0	32	2	19	8	67	75	44	89	59	63	3	3	0
Neu1	3897	36	176	113	122	203	35	8	99	41	58	44	1856	2450	2100	1111	937	958	100	79	121
Neu2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Neu3	247	82	106	219	89	715	106	168	275	41	65	33	50	39	27	73	103	68	19	18	30
Neu4	0	25	4	20	1	138	0	38	23	0	0	0	1	1	1	0	1	0	2	0	2
Neurl1a	7	0	1	0	1	3	0	0	0	0	0	0	14	24	23	8	14	7	0	0	1
Neurl1b	1195	33	6	80	4	182	10	22	136	4	5	6	50	36	78	144	118	161	11	3	18
Neurl2	1058	0	85	0	34	0	0	0	0	24	44	43	58	59	61	126	121	104	10	9	15
